"OrderID","OrderDate","CustomerID","ProductID","Quantity","EmployeeID","Price"
"1","2020-07-20 06:31:01","16279","4","15","5","310290"
"2","2020-04-14 09:45:10","980","58","12","33","253188"
"3","2022-11-10 14:47:23","1416","59","8","39","23352"
"4","2022-12-22 09:41:21","8815","72","9","68","148284"
"5","2022-05-30 14:21:15","17839","27","1","27","18660"
"6","2022-12-11 22:24:06","8557","72","19","60","313044"
"7","2020-12-08 20:32:25","18678","82","17","11","584817"
"8","2020-07-14 01:24:33","16335","12","5","78","166915"
"9","2020-11-05 09:35:53","3110","55","11","58","211959"
"10","2021-02-22 05:28:15","3328","20","7","13","55321"
"11","2022-06-04 13:12:01","12665","24","3","86","49818"
"12","2022-09-03 18:01:12","19345","14","17","14","209202"
"13","2020-02-20 08:10:20","6740","96","12","86","258744"
"14","2022-09-18 18:05:08","9641","49","12","48","355224"
"15","2021-09-02 08:18:05","14958","54","17","87","572917"
"16","2022-09-25 11:12:05","8058","73","12","97","112920"
"17","2021-03-02 15:15:48","6909","72","12","33","197712"
"18","2020-12-20 18:40:15","11470","60","11","41","417934"
"19","2021-05-06 07:09:17","18640","52","9","25","85905"
"20","2020-03-05 03:44:13","16383","8","7","86","79478"
"21","2021-12-28 04:40:40","9314","50","7","78","120456"
"22","2021-06-13 17:49:06","12996","41","14","73","110026"
"23","2022-05-26 20:45:14","9053","32","3","72","18153"
"24","2022-07-31 15:38:50","11902","22","13","99","120315"
"25","2022-03-19 02:14:25","47","43","11","63","197945"
"26","2023-03-09 18:20:59","5875","81","15","83","175560"
"27","2021-01-21 08:40:00","10015","20","20","34","158060"
"28","2022-04-05 21:48:48","8408","27","20","17","373200"
"29","2020-06-14 08:59:39","10639","18","7","76","123116"
"30","2021-03-28 06:44:40","9821","43","16","32","287920"
"31","2020-05-04 02:06:36","11558","25","6","63","12522"
"32","2020-04-21 08:07:36","3806","59","13","88","37947"
"33","2020-12-15 16:58:25","6590","54","5","71","168505"
"34","2021-03-10 00:37:23","11082","97","20","82","199800"
"35","2021-10-16 03:23:41","8903","9","13","7","106860"
"36","2020-12-29 04:21:42","5744","21","6","47","111432"
"37","2021-10-02 11:04:01","1215","47","8","30","144784"
"38","2020-12-16 13:44:01","18086","42","16","15","35744"
"39","2020-08-28 14:54:53","4131","32","12","84","72612"
"40","2020-07-13 04:25:19","18019","2","13","21","134030"
"41","2022-09-24 22:03:08","8522","53","8","37","9304"
"42","2022-02-03 17:12:27","1118","57","9","49","65394"
"43","2020-09-09 16:10:15","18024","1","13","40","504842"
"44","2022-12-02 15:58:38","9727","95","4","52","122148"
"45","2022-04-30 17:57:18","8714","99","17","32","171241"
"46","2022-10-17 19:08:50","15805","52","2","8","19090"
"47","2020-11-09 17:48:28","7333","59","13","33","37947"
"48","2020-06-05 02:23:43","1915","57","6","11","43596"
"49","2021-02-24 00:57:27","3138","70","5","79","5290"
"50","2022-05-01 10:23:18","19819","72","4","48","65904"
"51","2020-02-06 23:22:12","5152","3","3","86","92565"
"52","2020-02-17 22:56:02","7855","29","16","15","629504"
"53","2021-05-18 08:42:25","3653","5","10","82","40380"
"54","2022-05-06 12:07:13","12682","68","8","33","117848"
"55","2022-03-14 06:24:05","6811","8","17","26","193018"
"56","2020-11-02 11:47:41","18638","55","3","63","57807"
"57","2021-11-14 07:53:43","18749","45","10","99","353960"
